"stage","stage09","stage15","ch_high","nburn","strata","stat","cc_year","metric","value"
"once burned early","early","early",1,1,"Sub-canopy","mnl",2009,"cc_02_mnl",-3.60184437137481
"once burned early","early","early",1,1,"Sub-canopy","sdl",2009,"cc_02_sdl",0.857832542474609
"once burned early","early","early",1,1,"Canopy","mnl",2009,"cc_08_mnl",-3.59005129717071
"once burned early","early","early",1,1,"Canopy","sdl",2009,"cc_08_sdl",1.62227834849077
"once burned early","early","early",1,1,"Understory","mnl",2009,"cc_01_mnl",-3.46357498350357
"once burned early","early","early",1,1,"Understory","sdl",2009,"cc_01_sdl",1.24390851351341
"once burned early","early","early",1,1,"Sub-canopy","mnl",2009,"cc_02_mnl",-2.68896135039583
"once burned early","early","early",1,1,"Sub-canopy","sdl",2009,"cc_02_sdl",0.995377922601629
"once burned early","early","early",1,1,"Canopy","mnl",2009,"cc_08_mnl",-2.94222523321296
"once burned early","early","early",1,1,"Canopy","sdl",2009,"cc_08_sdl",1.08363635630869
"once burned early","early","early",1,1,"Understory","mnl",2009,"cc_01_mnl",-3.75867874378056
"once burned early","early","early",1,1,"Understory","sdl",2009,"cc_01_sdl",1.43121008975082
"once burned early","early","early",1,1,"Sub-canopy","mnl",2009,"cc_02_mnl",-3.21850326596368
"once burned early","early","early",1,1,"Sub-canopy","sdl",2009,"cc_02_sdl",1.40240605199446
"once burned early","early","early",1,1,"Canopy","mnl",2009,"cc_08_mnl",-3.88211566515869
"once burned early","early","early",1,1,"Canopy","sdl",2009,"cc_08_sdl",1.66917564297123
"once burned early","early","early",1,1,"Understory","mnl",2009,"cc_01_mnl",-1.59077377848254
"once burned early","early","early",1,1,"Understory","sdl",2009,"cc_01_sdl",0.749882573475861
"once burned early","early","early",1,1,"Sub-canopy","mnl",2009,"cc_02_mnl",-2.57961202161101
"once burned early","early","early",1,1,"Sub-canopy","sdl",2009,"cc_02_sdl",1.03851425922862
"once burned early","early","early",1,1,"Canopy","mnl",2009,"cc_08_mnl",-2.96121943103947
"once burned early","early","early",1,1,"Canopy","sdl",2009,"cc_08_sdl",1.58138327157961
"unburned forest","suppressed","suppressed",NA,0,"Understory","mnl",2015,"cc_01_mnl",-3.50939100504317
"unburned forest","suppressed","suppressed",NA,0,"Understory","sdl",2015,"cc_01_sdl",1.77086946706111
"unburned forest","suppressed","suppressed",NA,0,"Sub-canopy","mnl",2015,"cc_02_mnl",-1.07996918336394
"unburned forest","suppressed","suppressed",NA,0,"Sub-canopy","sdl",2015,"cc_02_sdl",0.809474090736456
"unburned forest","suppressed","suppressed",NA,0,"Canopy","mnl",2015,"cc_08_mnl",-0.422261759677855
"unburned forest","suppressed","suppressed",NA,0,"Canopy","sdl",2015,"cc_08_sdl",0.654665495126154
"once burned forest","late","late",0,1,"Understory","mnl",2009,"cc_01_mnl",-1.50730282432969
"once burned forest","late","late",0,1,"Understory","sdl",2009,"cc_01_sdl",1.50563264707003
"once burned forest","late","late",0,1,"Sub-canopy","mnl",2009,"cc_02_mnl",-0.904529014139817
"once burned forest","late","late",0,1,"Sub-canopy","sdl",2009,"cc_02_sdl",0.919687467331842
"once burned forest","late","late",0,1,"Canopy","mnl",2009,"cc_08_mnl",-0.898197968804168
"once burned forest","late","late",0,1,"Canopy","sdl",2009,"cc_08_sdl",0.976538755071262
"once burned early","early","early",0,1,"Understory","mnl",2009,"cc_01_mnl",-1.71383513306908
"once burned early","early","early",0,1,"Understory","sdl",2009,"cc_01_sdl",0.921111345711297
"once burned early","early","early",0,1,"Sub-canopy","mnl",2009,"cc_02_mnl",-2.04937762473574
"once burned early","early","early",0,1,"Sub-canopy","sdl",2009,"cc_02_sdl",0.80304655704921
"once burned early","early","early",0,1,"Canopy","mnl",2009,"cc_08_mnl",-2.2425923015121
"once burned early","early","early",0,1,"Canopy","sdl",2009,"cc_08_sdl",1.71971633809968
"once burned early","early","early",1,1,"Understory","mnl",2009,"cc_01_mnl",-1.63960618182888
"once burned early","early","early",1,1,"Understory","sdl",2009,"cc_01_sdl",0.848138549743416
"once burned early","early","early",1,1,"Sub-canopy","mnl",2009,"cc_02_mnl",-2.29646783534752
"once burned early","early","early",1,1,"Sub-canopy","sdl",2009,"cc_02_sdl",0.775853294123291
"once burned early","early","early",1,1,"Canopy","mnl",2009,"cc_08_mnl",-3.05119637587655
"once burned early","early","early",1,1,"Canopy","sdl",2009,"cc_08_sdl",2.01658391074135
"once burned early","early","late",0,1,"Understory","mnl",2009,"cc_01_mnl",-1.87966249424992
"once burned early","early","late",0,1,"Understory","sdl",2009,"cc_01_sdl",0.862515165809073
"once burned early","early","late",0,1,"Sub-canopy","mnl",2009,"cc_02_mnl",-1.38482674500839
"once burned early","early","late",0,1,"Sub-canopy","sdl",2009,"cc_02_sdl",0.883959458445588
"once burned early","early","late",0,1,"Canopy","mnl",2009,"cc_08_mnl",-3.22847154512276
